year,quarter,period,archive,rows,valid_rows,passenger_sum,passenger_weighted_mean_fare_as_stored,passenger_weighted_mean_distance,unique_reporting_carriers,unique_airport_itineraries,ticket_type_counts
1979,1,1979Q1,nboe791.zip,1367320,1367320,3796089,81.7111,856.847,27,128954,I:401870; J:72902; O:245448; R:524798; U:122302
1979,2,1979Q2,nboe792.zip,1671806,1671806,4249246,126.0003,884.1043,27,137371,I:453372; J:92326; O:284476; R:687062; U:154570
1979,3,1979Q3,nboe793.zip,1810744,1810744,4346870,114.6171,912.4345,26,136366,I:437452; J:85098; O:337560; R:795058; U:155576
1979,4,1979Q4,nboe794.zip,1584506,1584506,4491473,122.1116,838.8064,47,128665,I:405514; J:79594; O:245836; R:703406; U:150156
1980,1,1980Q1,nboe801.zip,1495594,1495594,4122563,132.7282,835.7914,45,126021,I:388804; J:79640; O:251420; R:643050; U:132680
1980,2,1980Q2,nboe802.zip,1696149,1696149,4365987,139.1679,858.3528,44,130269,I:410798; J:80886; O:283195; R:769270; U:152000
1980,3,1980Q3,nboe803.zip,1505685,1505685,4132509,113.9203,874.2461,47,126723,I:365292; J:70632; O:256091; R:686728; U:126942
1980,4,1980Q4,nboe804.zip,952717,952717,2850801,120.0433,916.5181,44,91205,I:244880; J:40622; O:139131; R:442904; U:85180
1981,1,1981Q1,nboe811.zip,1271261,1271261,3653439,127.3236,846.4448,49,115855,I:333270; J:62260; O:213173; R:550140; U:112418
1981,2,1981Q2,nboe812.zip,1442162,1442162,4209703,124.0326,880.1321,48,124315,I:346208; J:70538; O:239032; R:654086; U:132298
1981,3,1981Q3,nboe813.zip,1349062,1349062,3884512,121.2641,875.9476,50,118715,I:313756; J:66854; O:248720; R:603862; U:115870
1981,4,1981Q4,nboe814.zip,1375310,1375310,4087030,120.4647,850.2614,50,114799,I:320758; J:74344; O:212816; R:640346; U:127046
1982,1,1982Q1,nboe821.zip,1344045,1344045,3963412,107.4237,868.3752,50,111713,I:320344; J:74602; O:232971; R:597272; U:118856
1982,2,1982Q2,nboe822.zip,1539688,1539688,4268186,120.2181,888.4124,51,116268,I:323722; J:82050; O:262316; R:729932; U:141668
1982,3,1982Q3,nboe823.zip,1464680,1464680,4335598,121.9684,901.3248,43,115097,I:305382; J:72776; O:261468; R:696288; U:128766
1982,4,1982Q4,nboe824.zip,1408530,1408530,4248187,119.7404,879.0089,42,108042,I:276300; J:73254; O:202444; R:716522; U:140010
1983,1,1983Q1,nboe831.zip,1427104,1427104,4347217,105.9217,904.5293,40,109216,I:291746; J:78198; O:210568; R:702950; U:143642
1983,2,1983Q2,nboe832.zip,1643695,1643695,4712459,116.1823,881.1663,41,118854,I:308576; J:82640; O:249243; R:839086; U:164150
1983,3,1983Q3,nboe833.zip,1403741,1403741,4429690,128.8688,857.7957,43,118901,I:269310; J:70386; O:218023; R:711284; U:134738
1983,4,1983Q4,nboe834.zip,1514621,1514621,4601346,132.7099,862.0733,44,114986,I:283430; J:77544; O:198487; R:798454; U:156706
1984,1,1984Q1,nboe841.zip,1394595,1394595,4487589,134.528,863.334,43,110578,I:283218; J:74794; O:203041; R:694372; U:139170
1984,2,1984Q2,nboe842.zip,1678526,1678526,5236739,136.3935,886.6771,44,121615,I:318132; J:88826; O:241548; R:861838; U:168182
1984,3,1984Q3,nboe843.zip,1505590,1505590,5102784,133.3191,884.9988,43,119551,I:282614; J:79848; O:238184; R:762370; U:142574
1984,4,1984Q4,nboe844.zip,1546914,1546914,5170766,131.736,867.0176,38,117346,I:281024; J:82508; O:211366; R:815144; U:156872
1985,1,1985Q1,nboe851.zip,1505033,1505033,5126703,131.8058,895.4879,35,112601,I:273150; J:80404; O:211333; R:785634; U:154512
1985,2,1985Q2,nboe852.zip,1752761,1752761,5654955,127.3256,906.4288,36,120992,I:278802; J:91584; O:237247; R:952184; U:192944
1985,3,1985Q3,nboe853.zip,1755825,1755825,5529974,127.908,897.9256,40,120529,I:255326; J:85514; O:261945; R:976400; U:176640
1985,4,1985Q4,nboe854.zip,1784015,1784015,5450623,145.9354,879.3434,39,117627,I:227446; J:85510; O:223407; R:1059394; U:188258
1986,1,1986Q1,nboe861.zip,1857105,1857105,5743949,142.7645,924.0275,38,118969,I:248872; J:88954; O:262783; R:1069820; U:186676
1986,2,1986Q2,nboe862.zip,2155207,2155207,6044405,162.6971,916.3303,38,130387,I:267534; J:96040; O:312951; R:1270694; U:207988
1986,3,1986Q3,nboe863.zip,2064024,2064024,6140036,187.4913,909.7949,38,130065,I:239836; J:91778; O:331802; R:1204756; U:195852
1986,4,1986Q4,nboe864.zip,2179767,2179767,6017376,209.2721,896.4252,37,130642,I:230310; J:93676; O:264287; R:1368850; U:222644
1987,1,1987Q1,nboe871.zip,2064507,2064507,5679623,121.6936,930.4958,32,130262,I:223198; J:89204; O:246921; R:1299182; U:206002
1987,2,1987Q2,nboe872.zip,2343611,2343611,6241360,124.0229,934.6004,27,138750,I:218936; J:99398; O:287501; R:1501828; U:235948
1987,3,1987Q3,nboe873.zip,2611339,2611339,6237004,130.5541,939.9526,27,144712,I:220924; J:108488; O:359829; R:1684834; U:237264
1987,4,1987Q4,nboe874.zip,2415592,2415592,5910858,139.8563,919.8398,26,140368,I:198334; J:93854; O:274512; R:1617642; U:231250
1988,1,1988Q1,nboe881.zip,2227640,2227640,5927481,140.0749,929.5462,26,140725,I:213002; J:92872; O:259914; R:1449200; U:212652
1988,2,1988Q2,nboe882.zip,2544689,2544689,6590979,143.4585,933.2312,27,149569,I:222880; J:105544; O:278737; R:1695536; U:241992
1988,3,1988Q3,nboe883.zip,2498573,2498573,6412119,146.1216,930.0878,25,151670,I:208218; J:102866; O:319741; R:1641540; U:226208
1988,4,1988Q4,nboe884.zip,2716837,2716837,6368498,146.1096,897.834,26,151860,I:210290; J:102274; O:284993; R:1863836; U:255444
1989,1,1989Q1,nboe891.zip,2228474,2228474,5876262,162.6444,903.4075,26,149500,I:237954; J:94734; O:258076; R:1425948; U:211762
1989,2,1989Q2,nboe892.zip,2351290,2351290,6459761,155.4421,916.8432,26,156821,I:247304; J:104654; O:262984; R:1513620; U:222728
